INPUTA,INPUTB,OUTPUTA,OUTPUTB,
J0LDC20AA001YB01,,J0LDC20AA001XB01_SIM,J0LDC20AA001XB02_SIM,罗茨风机排气门
J0LDP50AA001YB01,,J0LDP50AA001XB01_SIM,J0LDP50AA001XB02_SIM,水力输送树脂门
J0LBG10AA002YB01,J0LBG10AA002YB02,J0LBG10AA002XB01_SIM,J0LBG10AA002XB02_SIM,锅炉房至辅汽联箱电动门
J0LBG30AA011YB01,J0LBG30AA011YB02,J0LBG30AA011XB01_SIM,J0LBG30AA011XB02_SIM,锅炉房至脱硝尿素区蒸汽母管电动门
J0LBG40AA011YB01,J0LBG40AA011YB02,J0LBG40AA011XB01_SIM,J0LBG40AA011XB02_SIM,蒸汽-生活热水换热器A路蒸汽电动门
J0LBG40AA021YB01,J0LBG40AA021YB02,J0LBG40AA021XB01_SIM,J0LBG40AA021XB02_SIM,蒸汽-生活热水换热器B路蒸汽电动门
J0LCN11AA021YB01,J0LCN11AA021YB02,J0LCN11AA021XB01_SIM,J0LCN11AA021XB02_SIM,蒸汽-生活热水换热器疏水电动门1
J0LCN11AA031YB01,J0LCN11AA031YB02,J0LCN11AA031XB01_SIM,J0LCN11AA031XB02_SIM,蒸汽-生活热水换热器疏水电动门2
J0QCD28AA009YB01,J0QCD28AA009YB02,J0QCD28AA009XB01_SIM,J0QCD28AA009XB02_SIM,闭冷水加氨计量泵出口联络阀
J0QCD22AA012YB01,J0QCD22AA012YB02,J0QCD22AA012XB01_SIM,J0QCD22AA012XB02_SIM,给水加氨计量泵出口联络阀2
J0QCA22AA012YB01,J0QCA22AA012YB02,J0QCA22AA012XB01_SIM,J0QCA22AA012XB02_SIM,给水加除氧剂计量泵出口联络阀2
J0QCD25AA012YB01,J0QCD25AA012YB02,J0QCD25AA012XB01_SIM,J0QCD25AA012XB02_SIM,凝结水加氨计量泵出口联络阀2
10LDF20AA001YB01,,10LDF20AA001XB01_SIM,10LDF20AA001XB02_SIM,1号机组母管树脂进出口门
20LDF20AA001YB01,,20LDF20AA001XB01_SIM,20LDF20AA001XB02_SIM,2号机组母管树脂进出口门
